lista_precios,lista_locacion,baños_medios,m2_,m2_reales,m2_techado,banos_,dormitorios_,antiguedad_,unidades,cochera
"['DesdeS/ 748,250USD 199,534', '']","[' CAYMA 315,  Cayma, Arequipa']",[],['114 a 270 m² tot.'],[],[],['2 a 4 Baños'],['3 a 4                                                    dorm.'],[],[],['Estacionamientos']
"['DesdeS/ 553,185USD 145,575', '']","[' JF92+2PC, Cayma 04017,  Macondo, Cayma']",[],['116 a 201 m² tot.'],[],[],['2 a 3 Baños'],['3                                                    dorm.'],[],[],['Estacionamientos']
"['DesdeS/ 264,704USD 70,400', '']","[' Calle Prolongacion Ramon Castilla 604 La Libertad Cerro Colorado,  La Libertad, Cerro Colorado']",[],['63 a 195 m² tot.'],[],[],['2 a 3 Baños'],['2 a 4                                                    dorm.'],[],[],['Estacionamientos']
"['DesdeS/ 451,400USD 122,000', '']","[' Calle Gonzales Vigil 117, Umacollo,  Arequipa, Arequipa']",[],[],[],[],['2 a 3 Baños'],['2 a 3                                                    dorm.'],[],[],['Estacionamientos']
"['DesdeS/ 345,210USD 93,000', '']","[' Calle Miguel de Cervantes Saavedra 117 - 119,  Arequipa, Arequipa']",[],['93 m² tot.'],[],[],['2 a 3 Baños'],['2 a 3                                                    dorm.'],[],[],[]
"['DesdeS/ 220,000USD 57,500', '']","[' Av Bolognesi 902,  Cayma, Arequipa']",[],['36 a 110 m² tot.'],[],[],['1 a 2 Baños'],['1 a 3                                                    dorm.'],[],[],['Estacionamientos']
"['DesdeS/ 748,250USD 199,534', '']","[' AVENIDA CAYMA 315,  Cayma, Arequipa']",[],['114 a 270 m² tot.'],[],[],['2 a 4 Baños'],['3 a 4                                                    dorm.'],[],[],['Estacionamientos']
"['', 'venta S/ 469,000 USD 121,000S/ 469,000USD 121,000']","[' González vigil,  Umacollo, Yanahuara']",['1medio baño'],['320m² tot.'],['78m² cub.'],[],['2baños'],['2 dorm. '],['A estrenar'],[],['1 estac.']
"['', 'venta S/ 444,000 USD 120,000S/ 444,000USD 120,000']","[' Urb. Quinta Tristan,  Arequipa, Arequipa']",['1medio baño'],['97m² tot.'],['94m² cub.'],[],['2baños'],['3 dorm. '],['En construcción'],[],['1 estac.']
"['', 'venta S/ 229,400 USD 62,000S/ 229,400USD 62,000']","[' SANTA ROSA AREQUIPA,  Santa Rosa, Cerro Colorado']",[],['60m² tot.'],['60m² cub.'],[],['1baño'],['2 dorm. '],['7 años'],[],[]
"['', 'venta S/ 318,750 USD 85,000S/ 318,750USD 85,000']","[' AV. PARIS HUNTER,  Jacobo Hunter, Arequipa']",[],['100m² tot.'],['100m² cub.'],[],['2baños'],['3 dorm. '],['A estrenar'],[],[]
"['', 'venta S/ 1,400,000 USD 398,000S/ 1,400,000USD 398,000']","[' Vallecito,  Vallecito, Arequipa']",['1medio baño'],['408m² tot.'],['408m² cub.'],[],['2baños'],['3 dorm. '],['A estrenar'],[],['1 estac.']
"['', 'venta S/ 1,520,000 USD 400,000S/ 1,520,000USD 400,000']","[' SAN RAFAEL, YANAHUARA,  San Rafael, Yanahuara']",['1medio baño'],['200m² tot.'],['300m² cub.'],[],['5baños'],['4 dorm. '],['26 años'],[],['2 estac.']
"['', 'venta S/ 513,000 USD 135,000S/ 513,000USD 135,000']","[' Urb. El Ensueño I,  Sachaca, Arequipa']",['1medio baño'],[],['109m² cub.'],[],['2baños'],['3 dorm. '],['A estrenar'],[],[]
"['', 'venta S/ 589,000 USD 155,000S/ 589,000USD 155,000']","[' Urb. Colegio de Ingenieros,  Colegio De Ingenieros, Cerro Colorado']",['1medio baño'],[],['114m² cub.'],[],['3baños'],['3 dorm. '],['A estrenar'],[],['1 estac.']
"['', 'venta S/ 596,800 USD 155,000S/ 596,800USD 155,000']","[' Garcilazo de la Vega, Umacollo, Arequipa, Arequipa,  Arequipa, Arequipa']",['1medio baño'],[],['110m² cub.'],[],['2baños'],['3 dorm. '],['A estrenar'],[],[]
"['', 'venta S/ 388,500 USD 105,000S/ 388,500USD 105,000']","[' cayma,  Cayma, Arequipa']",[],['93m² tot.'],['81m² cub.'],[],['2baños'],['3 dorm. '],['30 años'],[],['1 estac.']
"['', 'venta S/ 214,000 USD 58,000S/ 214,000USD 58,000']","[' Garcilaso de la Vega,  15 De Enero, Paucarpata']",[],['60m² tot.'],['60m² cub.'],[],['1baño'],['2 dorm. '],['9 años'],[],[]
"['', 'venta S/ 646,000 USD 170,000S/ 646,000USD 170,000']","[' Condominio Home,  Los Arces, Cayma']",['1medio baño'],['104m² tot.'],['106m² cub.'],[],['3baños'],['3 dorm. '],['2 años'],[],['1 estac.']
"['', 'venta S/ 604,200 USD 159,000S/ 604,200USD 159,000']","[' Ramón Castilla Cayma,  Cercado De Cayma, Cayma']",[],['155m² tot.'],['155m² cub.'],[],['3baños'],['3 dorm. '],['15 años'],[],['2 estac.']
